"","Nombre","Edad","Altura","Peso","Nacionalidad","Equipo","Posición","Partidos","Minutos por partido","Goles","Asistencias","Targetas","Puntos","Puntos local","Puntos visitante","Media total","Media local","Media visitante","Valor de Comunio","Valor de mercado"
"1","Messi","33","1.70","72","Argentina","barcelona","delanteros","28",85,"23","8","4","335","174",161,"12.0","12.4","11.5","32 140 000","87"
"2","Gerard Moreno","29","1.80","75","España","villarreal","delanteros","25",84,"19","5","3","246","109",137,"9.8","9.1","10.5","17 950 000","34"
"3","Benzema","33","1.84","79","Francia","real-madrid","delanteros","26",88,"19","6","2","227","120",107,"8.7","9.2","8.2","16 650 000","26"
"4","Kroos","31","1.83","78","Alemania","real-madrid","centrocampistas","27",75,"3","8","6","224","109",115,"8.3","8.4","8.2","13 470 000","48"
"5","Luis Suárez","34","1.82","86","Uruguay","atletico","delanteros","26",79,"19","2","5","213","134",79,"8.2","9.6","6.6","17 220 000","14"
"6","Iago Aspas","33","1.76","67","España","celta","delanteros","25",88,"10","10","5","210","113",97,"8.4","9.4","7.5","16 380 000","10"
"7","Marcos Llorente","26","1.84","71","España","atletico","centrocampistas","29",78,"9","8","5","202","108",94,"7.0","7.2","6.7","11 370 000","72"
"8","Parejo","31","1.80","74","España","villarreal","centrocampistas","28",89,"3","2","4","192","98",94,"6.9","7.0","6.7","11 350 000","10"
"9","Casemiro","29","1.85","80","Brasil","real-madrid","centrocampistas","27",85,"5","2","10","191","102",89,"7.1","7.3","6.8","12 400 000","64"
"10","Frenkie de Jong","23","1.80","70","Países","barcelona","centrocampistas","30",85,"3","4","4","188","82",106,"6.3","5.5","7.1","9 650 000","74"
"12","Oyarzabal","23","1.81","75","España","real-sociedad","delanteros","25",73,"10","7","1","185","113",72,"7.4","8.7","6.0","12 470 000","75"
"13","Oblak","28","1.89","84","Eslovenia","atletico","porteros","30",90,"0","0","0","182","93",89,"6.1","6.2","5.9","6 370 000","96"
"14","En-Nesyri","23","1.90","73","Marruecos","sevilla","delanteros","29",59,"15","0","2","181","112",69,"6.2","7.5","4.9","11 800 000","31"
"15","Modric","35","1.73","65","Croacia","real-madrid","centrocampistas","29",77,"3","3","3","181","78",103,"6.2","5.6","6.9","10 780 000","11"
"16","Griezmann","30","1.76","71","Francia","barcelona","delanteros","28",69,"8","6","3","180","98",82,"6.4","6.5","6.3","13 180 000","57"
"17","Joselu","31","1.91","80","España","alaves","delanteros","29",83,"7","1","1","178","90",88,"6.1","6.0","6.3","9 620 000","4"
"18","Kike García","31","1.86","79","España","eibar","delanteros","29",83,"8","2","3","177","91",86,"6.1","6.1","6.1","6 790 000","2"
"19","Canales","30","1.76","65","España","betis","centrocampistas","24",82,"7","6","4","172","89",83,"7.2","7.4","6.9","12 440 000","21"
"20","Jordi Alba","32","1.70","68","España","barcelona","defensas","27",87,"3","5","8","170","81",89,"6.3","6.2","6.4","7 310 000","26"
